주제,카페명,멤버수(만명),URL,게시글 순위
"다이어트,운동,식단",씨씨앙,52,https://cafe.naver.com/cantsb,2
"다이어트,운동,식단",헬스매니아 몸짱 클럽,43,https://cafe.naver.com/bodygood,5
"다이어트,운동,식단",잠백이의 헬스,22,https://cafe.naver.com/formsunmyeong,7
"다이어트,운동,식단",저탄수화물 고지방,29,https://cafe.naver.com/ketogenic,14
"다이어트,운동,식단",건강습관챌린지,4,https://cafe.naver.com/veryup,27
"다이어트,운동,식단",단식하는 사람들,10,https://cafe.naver.com/fastian,34
질환/당뇨,당뇨와건강,28,https://cafe.naver.com/dangsamo,3
질환/척추,척추질환 환우모임,39,https://cafe.naver.com/peopledisc,6
질환/척추,건정공,13,https://cafe.naver.com/newin,19
질환/뇌질환,뇌질환환우모임,25,https://cafe.naver.com/perfectsv,8
질환/뇌질환,뇌투사,6,https://cafe.naver.com/brag11,38
질환/암,유방암이야기,17,https://cafe.naver.com/uvacenter,9
질환/암,감상선포럼,24,https://cafe.naver.com/thyroidcancers,10
질환/암,아름다운동행!,23,https://cafe.naver.com/livehope,12
질환/암,폐암환우들과 그 가족의 모임,19,https://cafe.naver.com/lung,25
질환/암,암승모,15,https://cafe.naver.com/amwinner,29
질환/암,암정모 암정복모임,5,https://cafe.naver.com/cancer7575,42
질환/신장,신장병환우모임,19,https://cafe.naver.com/tlswkd,16
질환/무릎,십자인대 및 무릎환자,8,https://cafe.naver.com/aclknee,37
질환/피부,아이맘,6,https://cafe.naver.com/coodos17,45
멘탈/우울증,공황장애 완치,13,https://cafe.naver.com/lovefaithjkc,13
멘탈/우울증,코리안매니아,10,https://cafe.naver.com/koreanmania,18
치아,치건사모,7,https://cafe.naver.com/chigunsamo,15
