review,coder0,target
배송쫌걸렸지만   생각했던핏이구요 빈티지한 느낌   도톰해서 변형없구요  스탈링 편하게 좋아요,0,0
이너로 착용하시려면 라지 이상으로 구매하셔요  단품은 미뎜으로 입어도 충분한데 레이어드로 입기엔 쪼끔 크롭하네요  무난하게 이쁜 체크셔츠입니다  이런거 한 벌씩은 가져가셔유 ,0,0
옷 너무 예쁩니다 핏도 아주 잘 나오네요 감사합니다,0,0
어깡   긴팔 원숭이에게는 팔길이가 조금 애매해서 걷어서 입게 되는 옷입니다ㅠㅠ 조금 아쉬워요  그치만 원단 느낌도 제법 탄탄하고 부들해서 제가 좋아하는 느낌의 옷이고 디자인도 맘에 들어서 손이 자주 가용   대신 사기 전으로 돌아간다면   한사이즈 크게 살 것 같아요ㅎ 아 그리고 처음 샀을 땐 어깨가 힘 있게 뾰족하게 있어서 더 넓어 보여서 망했다 싶었는데  그 점은 빨다 보니까 괜찮아졌어요ㅎㅎ 이제 잘 쳐집니다,0,0
아이폰 떨틴 프로멕스 후면으로 찍은 전신샷이다  색감과 소재는 좋타 라지는    에게 딱이다 조금더 루즈하고 긴기장으로 레이어드하고싶으면 xl 추천한다,0,0
질감도 좋고 배송도 빨라서 바로 입었어요 빨간색이 포인트돼요,0,0
배송쫌걸렸지만   생각했던핏이구요 빈티지한 느낌   도톰해서 변형없구요  스탈링 편하게 좋아요,0,0
이너로 착용하시려면 라지 이상으로 구매하셔요  단품은 미뎜으로 입어도 충분한데 레이어드로 입기엔 쪼끔 크롭하네요  무난하게 이쁜 체크셔츠입니다  이런거 한 벌씩은 가져가셔유 ,0,0
옷 너무 예쁩니다 핏도 아주 잘 나오네요 감사합니다,0,0
어깡   긴팔 원숭이에게는 팔길이가 조금 애매해서 걷어서 입게 되는 옷입니다ㅠㅠ 조금 아쉬워요  그치만 원단 느낌도 제법 탄탄하고 부들해서 제가 좋아하는 느낌의 옷이고 디자인도 맘에 들어서 손이 자주 가용   대신 사기 전으로 돌아간다면   한사이즈 크게 살 것 같아요ㅎ 아 그리고 처음 샀을 땐 어깨가 힘 있게 뾰족하게 있어서 더 넓어 보여서 망했다 싶었는데  그 점은 빨다 보니까 괜찮아졌어요ㅎㅎ 이제 잘 쳐집니다,0,0
아이폰 떨틴 프로멕스 후면으로 찍은 전신샷이다  색감과 소재는 좋타 라지는    에게 딱이다 조금더 루즈하고 긴기장으로 레이어드하고싶으면 xl 추천한다,0,0
질감도 좋고 배송도 빨라서 바로 입었어요 빨간색이 포인트돼요,0,0
