Unnamed: 0,review
0,믿고입습니다 핏이 너무 좋고 무난한 반팔티에요 만족도 최상입니다
1,사이즈 딱 예쁘구 힙해서 자주 입을 거 같아용   원단이 얇지는 않아요  
2,옷 너무 예쁩니다 핏도 아주 잘 나오네요 감사합니다
3,프린팅이 마음에 들어서 구매했어요 사이즈 적당하고 핏도 맘에 들어오
4,좋아하는 연예인이 입었길래 구매했는데 생각보다 재질도 좋고 이뻐요 사이즈도 마음에 들어서 잘산거같아요
5,사이즈가 오버하면서도 딱 핏 이쁘게 떨어져서 좋네요  두께감도 있어서 더 좋았어요
6,생각했던 핏감에 싸게 잘 구매한거 같아 마음에 들어요
7,옷 너무 예뻐요  입은지 얼마 안 돼서 프린팅 위쪽에 살짝 벗겨지긴 했는데 티도 안 나고 예뻐서 괜찮아요 맨날 입고 다님
8,검흰 컬러조합 이상의 시크함과 묵직함이 있어서맛있어요
9,어깡   긴팔 원숭이에게는 팔길이가 조금 애매해서 걷어서 입게 되는 옷입니다ㅠㅠ 조금 아쉬워요  그치만 원단 느낌도 제법 탄탄하고 부들해서 제가 좋아하는 느낌의 옷이고 디자인도 맘에 들어서 손이 자주 가용   대신 사기 전으로 돌아간다면   한사이즈 크게 살 것 같아요ㅎ 아 그리고 처음 샀을 땐 어깨가 힘 있게 뾰족하게 있어서 더 넓어 보여서 망했다 싶었는데  그 점은 빨다 보니까 괜찮아졌어요ㅎㅎ 이제 잘 쳐집니다
10,그래픽도 예쁜데  이 제품은 핏이 정말 너무 좋습니다  너무 길지 않은 스트릿한 티셔츠를 찾고 있었는데  이 제품이 딱이네요  자주 입을 것 같습니다 
11,디자인이 너무 예쁘고 그렇게 두껍지도 않아서 한여름에도 입을만 해요
12,사이즈도 잘맞고 디자인이랑 프린팅 다 너무 마음에 들어요 
13,넘 예뻐요  프린팅이 안 유치해서 마음에 들어요  잘 입을게요
14,세미오버 실루엣을 활용하기 좋으며  프린팅이 포인트가 되는 것 같습니다 
